word,countNum
홍대나,1
클럽들처럼,1
봉이나,1
손님들이,1
춤추는,1
스테이지가,1
올라오는,1
무대,1
단이,1
무대를,1
볼,1
공간정도가,1
"전부인,",1
홍대에,1
존재하는,1
라이브클럽이나,1
모,1
카드회사가,1
스테이지와,1
비슷한,1
형태인데,1
가수가,1
한다는,1
정도입니다.,1
#.,1
아티스트,1
일과는,1
더욱,1
관련이,2
없음을,1
밝힙니다.,1
저희와,1
전속으로,1
계약된,1
아티스트가,1
매,1
앨범,2
마다,1
에이전트로,1
계약,1
"아티스트로,",1
무인과도,1
없습니다.,1
일반적인,1
기획사라면,1
앨범을,1
주지,1
않기,1
때문에,1
기획사가,1
하듯,1
전속계약으로,1
연예인과,1
계약하는,1
것도,1
"아니고,",1
숀을,1
비롯해,1
음원을,1
만들,1
DJ들과,1
"단위,",1
혹은,1
기간,1
행사,1
단위의,1
앨범은,2
성공적인,1
성과를,1
거두었지만,1
전이나,1
이후,1
제작한,1
스무장이,1
넘는,1
대부분의,1
아직,1
발매월,1
기준,1
100만원,1
매출도,1
만들지,1
못,1
영세하고,1
이제,2
막,1
시작하고,1
단계입니다.,1
갑들에게,1
을로만,1
지내던,1
문화로,1
바로,1
설,1
있게,1
해서,1
정당한,2
대우를,2
받고자,1
"회사이고,",1
시작한지,1
고작,1
2년,1
남짓,1
되었습니다.,1
간곡히,1
부탁드리는,1
점은,1
일련의,1
사안이,1
예민한,1
"만큼,",1
‘의혹’이라는,1
단어로,1
사실과,1
확인,1
없이,1
퍼뜨리지,1
말아주셨으면,1
합니다.,1
받는,1
세상을,1
꿈꾸며,1
디씨톰을,1
믿고,1
따라와,1
주는,1
아티스트들을,1
위해서라도,1
열심히,1
발로,1
뛰고,1
저희의,1
전부입니다.이유진,1
기자,1
yjleee@kyunghyang.com▶,1
네이버,1
메인에서,1
경향신문,1
받아보기,1
▶,2
두고,2
읽는,1
뉴스,1
인기,1
"무료만화©경향신문(www.khan.co.kr),",1
무단전재,1
재배포,1
금지,1
